ENSG_ID	ATS0263	ATS0264	ATS0265	ATS0266	ATS0267	ATS0268	ATS0269	ATS0270	ATS0271	ATS0273	ATS0274	ATS0275	ATS0276	ATS0277	ATS0278
ENSG00000000003.15	987	953	1292	838	1151	1143	1004	1152	569	668	566	1486	1072	1171	1101
ENSG00000000419.14	785	862	1300	823	1015	1042	964	875	334	448	445	865	612	651	606
ENSG00000000457.14	228	228	316	205	314	255	270	240	24	32	18	252	178	196	173
ENSG00000000460.17	325	282	442	261	128	103	142	116	19	22	16	86	58	63	72
ENSG00000000971.17	118	120	186	118	67	83	74	55	22	29	30	87	63	82	81
ENSG00000001036.14	2567	2483	3537	2469	2057	2007	2069	2219	1082	1297	1185	2217	1400	1659	1473
ENSG00000001084.13	111	123	173	118	314	303	271	304	20	48	39	360	271	294	260
ENSG00000001167.15	1210	1289	1697	1184	1249	1252	1174	1139	159	261	257	1183	826	925	770
ENSG00000001460.18	121	144	215	123	179	144	118	157	25	51	28	92	65	90	73
ENSG00000001461.17	835	916	1197	771	1313	1412	1258	1289	477	577	527	1297	869	969	907
ENSG00000001497.18	709	791	1081	730	664	633	748	713	214	235	226	535	436	432	432
ENSG00000001561.7	40	56	54	46	51	70	79	46	13	18	20	86	44	56	38
ENSG00000001617.12	17	24	22	21	60	37	44	56	10	22	13	50	48	36	40
ENSG00000001629.10	2267	2533	3435	2245	3491	3647	3006	2885	1053	1299	1212	3549	2346	2694	2342
ENSG00000001630.18	32	26	42	22	81	69	76	72	41	59	49	96	63	96	90
ENSG00000001631.17	81	101	127	80	119	130	99	73	7	9	8	94	86	90	74
ENSG00000002016.18	210	239	313	185	296	245	243	242	20	32	33	208	193	204	138
ENSG00000002330.14	591	654	861	517	811	585	748	841	291	371	343	646	536	605	550
ENSG00000002549.13	1660	1815	2645	1788	3016	3029	2141	2328	769	943	847	3292	1837	2439	2507
ENSG00000002586.20	9289	8576	11476	7704	10049	8487	10171	11765	4763	6057	5174	9430	7380	8063	7765
ENSG00000002726.21	0	0	1	0	15	6	26	20	6	5	1	9	5	6	6
ENSG00000002834.18	16156	16620	23009	14633	13934	12259	12436	13874	2204	2978	2373	9681	7686	8283	7449
ENSG00000002919.15	542	623	863	601	853	770	770	912	114	195	172	823	501	533	580
ENSG00000003056.8	2511	2673	3534	2325	3486	3360	3293	3307	1172	1646	1533	3138	2220	2428	2330
ENSG00000003137.9	199	252	319	189	107	98	81	79	1	5	9	62	68	46	27
ENSG00000003249.15	366	409	475	352	456	306	603	617	134	318	224	520	397	400	423
ENSG00000003393.16	1293	1388	1858	1302	2107	1991	1889	1831	116	324	204	1897	1223	1418	1214
